symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
002430_SZ.SZ,20241029,CONT,6.9786,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
603019_SH.SH,20241030,CONT,38.867,,,0.18,s7v2_up;s16;s5
002612_SZ.SZ,20241031,CONT,-0.2625,,,0.0252,s1v2_CHoCH↑;s7v2_up;s18;s16;s5
002318.SZ,20241016,EVENT,4.4552,24.97,17.498,0.0103,s1v2_CHoCH↑;s7v2_up;s18;s16;s9_bsl_tight;s4;s6x1
301227.SZ,20241017,EVENT,-2.838,15.93,9.675,0.0392,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s10_in_ob;s4;s6x1
600497.SH,20241021,EVENT,13.0287,6.071,4.143,0.0141,s1v2_CHoCH↑;s7v2_up;s18;s16;s9_bsl_tight;s10_in_ob;s4;s6x3
601975.SH,20241028,EVENT,-0.2208,3.393,3.043,0.056,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s10_in_ob;s4
688392.SH,20241016,EVENT,21.0504,47.569,25.518,0.0144,s1v2_CHoCH↑;s7v2_up;s18;s16;s9_bsl_tight;s12_in_ote;s6x1
001289.SZ,20241101,EVENT,-0.0646,19.35,14.523,0.147,s15;s8_sweep_bear;s6x1;s13
688443.SH,20241121,EVENT,-7.5499,32.99,25.743,0.049,s1v2_CHoCH↓;s20;s15;s12_in_ote
603500.SH,20241101,EVENT,12.3776,6.92,5.391,0.0784,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s10_in_ob;s6x1
601666.SH,20241114,EVENT,0.0872,11.43,8.941,0.0806,s7v2_up;s21;s8_sweep_bear;s9_bsl_tight;s10_in_ob;s6x3
300639.SZ,20241118,EVENT,6.5372,6.73,5.659,0.0165,s1v2_CHoCH↓;s20;s15;s8_sweep_bear;s10_in_ob;s12_in_ote;s6x1
600416_SH.SH,20241101,CONT,-5.1863,,,0.18,s7v2_up;s16;s5
000096_SZ.SZ,20241104,CONT,3.2628,,,0.18,s7v2_up;s16;s5
000716_SZ.SZ,20241104,CONT,14.7105,,,0.18,s7v2_up;s16;s5
600458_SH.SH,20241104,CONT,2.1271,,,0.18,s7v2_up;s16;s5
